species,longitude,latitude
tiger,85.651736055699999,41.612672680199999
tiger,86.996613607599997,41.986532620200002
tiger,90.140421610199994,40.288894253000002
tiger,96.717034089899997,32.880766607200002
tiger,96.602919873700003,33.003535344500001
tiger,96.098247592899995,32.208680422699999
tiger,105.050858195999990,35.857660123899997
tiger,101.452960687000000,34.525096409699998
tiger,100.103364414000000,34.281844567299999
tiger,101.068860033000010,33.562674651800002
tiger,99.775690197599999,31.877133367399999
tiger,103.344752949000000,34.427294123499998
tiger,103.515415882000000,33.981631543399999
tiger,104.316046463000010,33.625946424399999
tiger,104.613141568000000,33.644215900500001
tiger,106.043716218000000,33.871385885099997
tiger,105.167094686000000,33.263873173500002
tiger,104.676352507999990,32.882991044800001
tiger,105.283401178999990,32.817007588899997
tiger,105.126135676000000,32.454016359000001
tiger,105.242866162000000,32.437280381699999
tiger,105.492309015999990,31.958138665000000
tiger,104.425824844000000,32.402814827699999
tiger,104.294568842000000,31.940281154400001
tiger,103.760486779999990,31.572501125399999
tiger,104.798276398000000,31.449105366700000
tiger,103.255152971000000,31.054846068500002
tiger,102.662958745000000,30.533170615700001
tiger,102.567080765000000,30.039669525899999
tiger,102.983986759000000,29.919207344600000
tiger,103.184963370000010,30.119599927700001
tiger,91.123021360199999,29.623697458999999
tiger,94.384336813999994,29.675094380200001
tiger,93.984325210999998,29.116651132200001
tiger,93.366853083799995,28.233604922400001
tiger,92.748250510399998,27.756528908600000
tiger,94.965199847799994,28.675317704699999
tiger,95.340116602400002,28.913442992099998
tiger,96.616280281399995,28.666951284600000
tiger,96.814702246799996,28.554895439700001
tiger,97.752576030800000,28.946474551300000
tiger,98.865041598399998,28.329606909900001
tiger,99.812814847900000,27.692528727500001
tiger,98.437742598699998,27.795386149900001
tiger,90.852909423300005,28.193360537400000
tiger,89.033436015500001,27.847059151100002
tiger,107.898084491000010,33.517370781200000
tiger,107.782278352000010,33.587203325700003
tiger,107.572700376000000,33.294868402200002
tiger,108.170793681000010,33.425647402099997
tiger,108.386170805000010,33.384951703100000
tiger,103.667415099000000,29.491287648499998
tiger,103.459588475999990,28.788067339099999
tiger,103.049732439000000,28.276867241800002
tiger,102.928866326999990,28.031091008499999
tiger,102.164029261000000,27.540753630600001
tiger,104.343426875000010,28.945239206200000
tiger,104.602953283999990,28.816736434900001
tiger,107.412764224000000,31.088886814799999
tiger,108.286107910000000,30.602099981500000
tiger,108.394396958000000,31.633292502200000
tiger,108.677690172000000,31.886007534000001
tiger,109.246515478000010,32.323647804799997
